1768540685.567578 server started (47022): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1768540685.567602 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1768540685.567610 using libevent 2.1.12-stable select
1768540685.567617 using utf8proc 2.11.2
1768540685.567622 using ncurses 6.5 20240427
1768540685.568605 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1768540685.568610 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1768540685.568614 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1768540685.568618 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1768540685.568622 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1768540685.568625 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1768540685.568629 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1768540685.568634 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1768540685.568638 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1768540685.568642 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1768540685.568646 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1768540685.568650 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1768540685.568653 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1768540685.568657 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1768540685.568662 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1768540685.568666 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1768540685.568670 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1768540685.568674 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1768540685.568678 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1768540685.568682 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1768540685.568686 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1768540685.568690 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1768540685.568694 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1768540685.568698 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1768540685.568702 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1768540685.568706 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1768540685.568710 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1768540685.568715 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1768540685.568719 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1768540685.568723 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1768540685.568727 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1768540685.568731 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1768540685.568735 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1768540685.568739 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1768540685.568743 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1768540685.568747 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1768540685.568752 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1768540685.568756 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1768540685.568760 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1768540685.568764 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1768540685.568768 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1768540685.568772 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1768540685.568777 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1768540685.568781 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1768540685.568785 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1768540685.568789 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1768540685.568793 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1768540685.568797 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1768540685.568827 yylex_token: end at WS
1768540685.568833 yylex_token: bind
1768540685.568838 yylex_token: end at WS
1768540685.568842 yylex_token: -N
1768540685.568847 yylex_token: end at WS
1768540685.568851 yylex_token: Send the prefix key
1768540685.568856 yylex_token: end at WS
1768540685.568860 yylex_token: C-b
1768540685.568865 yylex_token: end at WS
1768540685.568874 yylex_token: send-prefix
1768540685.568880 cmd_parse_build_commands 0:0: bind
1768540685.568884 cmd_parse_build_commands 0:1: -N
1768540685.568888 cmd_parse_build_commands 0:2: Send the prefix key
1768540685.568892 cmd_parse_build_commands 0:3: C-b
1768540685.568896 cmd_parse_build_commands 0:4 0:0: send-prefix
1768540685.568904 cmd_parse_build_commands 0:0: send-prefix
1768540685.568912 args_parse: flags end at 1 of 1
1768540685.568919 cmd_parse_build_commands: send-prefix
1768540685.568923 args_parse_flags: next -N
1768540685.568927 args_parse_flag_argument: -N = Send the prefix key
1768540685.568932 args_parse_flags: next C-b
1768540685.568935 args_parse: flags end at 3 of 5
1768540685.568939 args_parse: 3 = C-b (type STRING)
1768540685.568944 args_parse: 4 = send-prefix (type COMMANDS)
1768540685.568953 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1768540685.568973 cmdq_get_command: [bind-key/0x1030a8800] group 6
1768540685.568978 cmdq_append <global>: [bind-key/0x1030a8800]
1768540685.568983 yylex_token: end at WS
1768540685.568987 yylex_token: bind
1768540685.568991 yylex_token: end at WS
1768540685.568997 yylex_token: -N
1768540685.569004 yylex_token: end at WS
1768540685.569008 yylex_token: Rotate through the panes
1768540685.569015 yylex_token: end at WS
1768540685.569021 yylex_token: C-o
1768540685.569029 yylex_token: end at WS
1768540685.569032 yylex_token: rotate-window
1768540685.569037 cmd_parse_build_commands 0:0: bind
1768540685.569041 cmd_parse_build_commands 0:1: -N
1768540685.569045 cmd_parse_build_commands 0:2: Rotate through the panes
1768540685.569049 cmd_parse_build_commands 0:3: C-o
1768540685.569053 cmd_parse_build_commands 0:4 0:0: rotate-window
1768540685.569058 cmd_parse_build_commands 0:0: rotate-window
1768540685.569063 args_parse: flags end at 1 of 1
1768540685.569068 cmd_parse_build_commands: rotate-window
1768540685.569072 args_parse_flags: next -N
1768540685.569076 args_parse_flag_argument: -N = Rotate through the panes
1768540685.569080 args_parse_flags: next C-o
1768540685.569084 args_parse: flags end at 3 of 5
1768540685.569087 args_parse: 3 = C-o (type STRING)
1768540685.569091 args_parse: 4 = rotate-window (type COMMANDS)
1768540685.569101 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1768540685.569107 cmdq_get_command: [bind-key/0x1030aa3f0] group 14
1768540685.569111 cmdq_append <global>: [bind-key/0x1030aa3f0]
1768540685.569116 yylex_token: end at WS
1768540685.569121 yylex_token: bind
1768540685.569125 yylex_token: end at WS
1768540685.569128 yylex_token: -N
1768540685.569136 yylex_token: end at WS
1768540685.569142 yylex_token: Suspend the current client
1768540685.569145 yylex_token: end at WS
1768540685.569150 yylex_token: C-z
1768540685.569154 yylex_token: end at WS
1768540685.569157 yylex_token: suspend-client
1768540685.569161 cmd_parse_build_commands 0:0: bind
1768540685.569164 cmd_parse_build_commands 0:1: -N
1768540685.569167 cmd_parse_build_commands 0:2: Suspend the current client
1768540685.569170 cmd_parse_build_commands 0:3: C-z
1768540685.569174 cmd_parse_build_commands 0:4 0:0: suspend-client
1768540685.569178 cmd_parse_build_commands 0:0: suspend-client
1768540685.569183 args_parse: flags end at 1 of 1
1768540685.569187 cmd_parse_build_commands: suspend-client
1768540685.569190 args_parse_flags: next -N
1768540685.569194 args_parse_flag_argument: -N = Suspend the current client
1768540685.569197 args_parse_flags: next C-z
1768540685.569200 args_parse: flags end at 3 of 5
1768540685.569203 args_parse: 3 = C-z (type STRING)
1768540685.569207 args_parse: 4 = suspend-client (type COMMANDS)
1768540685.569216 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1768540685.569220 cmdq_get_command: [bind-key/0x1030aa6b0] group 22
1768540685.569224 cmdq_append <global>: [bind-key/0x1030aa6b0]
1768540685.569227 yylex_token: end at WS
1768540685.569230 yylex_token: bind
1768540685.569233 yylex_token: end at WS
1768540685.569241 yylex_token: -N
1768540685.569245 yylex_token: end at WS
1768540685.569248 yylex_token: Select next layout
1768540685.569252 yylex_token: end at WS
1768540685.569255 yylex_token: Space
1768540685.569259 yylex_token: end at WS
1768540685.569262 yylex_token: next-layout
1768540685.569265 cmd_parse_build_commands 0:0: bind
1768540685.569269 cmd_parse_build_commands 0:1: -N
1768540685.569272 cmd_parse_build_commands 0:2: Select next layout
1768540685.569275 cmd_parse_build_commands 0:3: Space
1768540685.569278 cmd_parse_build_commands 0:4 0:0: next-layout
1768540685.569282 cmd_parse_build_commands 0:0: next-layout
1768540685.569286 args_parse: flags end at 1 of 1
1768540685.569290 cmd_parse_build_commands: next-layout
1768540685.569293 args_parse_flags: next -N
1768540685.569296 args_parse_flag_argument: -N = Select next layout
1768540685.569300 args_parse_flags: next Space
1768540685.569303 args_parse: flags end at 3 of 5
1768540685.569306 args_parse: 3 = Space (type STRING)
1768540685.569309 args_parse: 4 = next-layout (type COMMANDS)
1768540685.569316 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1768540685.569320 cmdq_get_command: [bind-key/0x1030aaa00] group 30
1768540685.569323 cmdq_append <global>: [bind-key/0x1030aaa00]
1768540685.569326 yylex_token: end at WS
1768540685.569329 yylex_token: bind
1768540685.569333 yylex_token: end at WS
1768540685.569335 yylex_token: -N
1768540685.569340 yylex_token: end at WS
1768540685.569343 yylex_token: Break pane to a new window
1768540685.569346 yylex_token: end at WS
1768540685.569349 yylex_token: !
1768540685.569357 yylex_token: end at WS
1768540685.569360 yylex_token: break-pane
1768540685.569364 cmd_parse_build_commands 0:0: bind
1768540685.569367 cmd_parse_build_commands 0:1: -N
1768540685.569370 cmd_parse_build_commands 0:2: Break pane to a new window
1768540685.569375 cmd_parse_build_commands 0:3: !
1768540685.569379 cmd_parse_build_commands 0:4 0:0: break-pane
1768540685.569383 cmd_parse_build_commands 0:0: break-pane
1768540685.569387 args_parse: flags end at 1 of 1
1768540685.569392 cmd_parse_build_commands: break-pane
1768540685.569395 args_parse_flags: next -N
1768540685.569399 args_parse_flag_argument: -N = Break pane to a new window
1768540685.569404 args_parse_flags: next !
1768540685.569407 args_parse: flags end at 3 of 5
1768540685.569410 args_parse: 3 = ! (type STRING)
1768540685.569413 args_parse: 4 = break-pane (type COMMANDS)
1768540685.569420 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1768540685.569425 cmdq_get_command: [bind-key/0x1030aad50] group 38
1768540685.569428 cmdq_append <global>: [bind-key/0x1030aad50]
1768540685.569432 yylex_token: end at WS
1768540685.569435 yylex_token: bind
1768540685.569438 yylex_token: end at WS
1768540685.569441 yylex_token: -N
1768540685.569445 yylex_token: end at WS
1768540685.569448 yylex_token: Split window vertically
1768540685.569451 yylex_token: end at WS
1768540685.569454 yylex_token: "
1768540685.569458 yylex_token: end at WS
1768540685.569461 yylex_token: split-window
1768540685.569464 cmd_parse_build_commands 0:0: bind
1768540685.569467 cmd_parse_build_commands 0:1: -N
1768540685.569470 cmd_parse_build_commands 0:2: Split window vertically
1768540685.569473 cmd_parse_build_commands 0:3: "
1768540685.569476 cmd_parse_build_commands 0:4 0:0: split-window
1768540685.569480 cmd_parse_build_commands 0:0: split-window
1768540685.569484 args_parse: flags end at 1 of 1
1768540685.569488 cmd_parse_build_commands: split-window
1768540685.569491 args_parse_flags: next -N
1768540685.569495 args_parse_flag_argument: -N = Split window vertically
1768540685.569497 args_parse_flags: next "
1768540685.569500 args_parse: flags end at 3 of 5
1768540685.569503 args_parse: 3 = " (type STRING)
1768540685.569507 args_parse: 4 = split-window (type COMMANDS)
1768540685.569513 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1768540685.569517 cmdq_get_command: [bind-key/0x1030ab080] group 46
1768540685.569521 cmdq_append <global>: [bind-key/0x1030ab080]
1768540685.569528 yylex_token: end at WS
1768540685.569531 yylex_token: bind
1768540685.569534 yylex_token: end at WS
1768540685.569536 yylex_token: -N
1768540685.569541 yylex_token: end at WS
1768540685.569544 yylex_token: List all paste buffers
1768540685.569547 yylex_token: end at WS
1768540685.569550 yylex_token: #
1768540685.569553 yylex_token: end at WS
1768540685.569558 yylex_token: list-buffers
1768540685.569562 cmd_parse_build_commands 0:0: bind
1768540685.569565 cmd_parse_build_commands 0:1: -N
1768540685.569568 cmd_parse_build_commands 0:2: List all paste buffers
1768540685.569571 cmd_parse_build_commands 0:3: #
1768540685.569574 cmd_parse_build_commands 0:4 0:0: list-buffers
1768540685.569578 cmd_parse_build_commands 0:0: list-buffers
1768540685.569581 args_parse: flags end at 1 of 1
1768540685.569585 cmd_parse_build_commands: list-buffers
1768540685.569588 args_parse_flags: next -N
1768540685.569591 args_parse_flag_argument: -N = List all paste buffers
1768540685.569594 args_parse_flags: next #
1768540685.569597 args_parse: flags end at 3 of 5
1768540685.569600 args_parse: 3 = # (type STRING)
1768540685.569603 args_parse: 4 = list-buffers (type COMMANDS)
1768540685.569612 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1768540685.569619 cmdq_get_command: [bind-key/0xa1ac30000] group 54
1768540685.569622 cmdq_append <global>: [bind-key/0xa1ac30000]
1768540685.569626 yylex_token: end at WS
1768540685.569629 yylex_token: bind
1768540685.569632 yylex_token: end at WS
1768540685.569635 yylex_token: -N
1768540685.569639 yylex_token: end at WS
1768540685.569642 yylex_token: Rename current session
1768540685.569645 yylex_token: end at WS
1768540685.569648 yylex_token: $
1768540685.569652 yylex_token: end at WS
1768540685.569655 yylex_token: command-prompt
1768540685.569658 yylex_token: end at WS
1768540685.569661 yylex_token: -I#S
1768540685.569665 yylex_token: end at WS
1768540685.569668 yylex_token: rename-session
1768540685.569671 yylex_token: end at WS
1768540685.569674 yylex_token: --
1768540685.569677 yylex_token: end at WS
